PUE,WUE,Case,Climate Zone,Cooling system (Original),Cooling system,Data center size,type,Case (Original)
1.1154091,0.0230739489197731,0,7,Airside economizer& adiabatic cooling (air-cooled chiller),Airside economizer& adiabatic cooling (air-cooled chiller),Large-scale,Cluster 1,0
1.2782305,0.0225067008286714,0,7,Airside economizer& adiabatic cooling (air-cooled chiller),Airside economizer& adiabatic cooling (air-cooled chiller),Large-scale,Cluster 1,0
1.1163547,0.0434258095920085,0,7,Airside economizer& adiabatic cooling (air-cooled chiller),Airside economizer& adiabatic cooling (air-cooled chiller),Large-scale,Cluster 1,0
1.1587663,0.0171979889273643,0,7,Airside economizer& adiabatic cooling (air-cooled chiller),Airside economizer& adiabatic cooling (air-cooled chiller),Large-scale,Cluster 1,0
1.093659,0.0222324952483177,0,7,Airside economizer& adiabatic cooling (air-cooled chiller),Airside economizer& adiabatic cooling (air-cooled chiller),Large-scale,Cluster 1,0
1.1310574,0.0198719557374715,0,7,Airside economizer& adiabatic cooling (air-cooled chiller),Airside economizer& adiabatic cooling (air-cooled chiller),Large-scale,Cluster 1,0
1.1837014,0.0195566285401582,0,7,Airside economizer& adiabatic cooling (air-cooled chiller),Airside economizer& adiabatic cooling (air-cooled chiller),Large-scale,Cluster 1,0
1.1760097,0.0206177216023206,0,7,Airside economizer& adiabatic cooling (air-cooled chiller),Airside economizer& adiabatic cooling (air-cooled chiller),Large-scale,Cluster 1,0
1.1569626,0.0080446470528841,0,7,Airside economizer& adiabatic cooling (air-cooled chiller),Airside economizer& adiabatic cooling (air-cooled chiller),Large-scale,Cluster 1,0
1.1038893,0.0098201790824532,0,7,Airside economizer& adiabatic cooling (air-cooled chiller),Airside economizer& adiabatic cooling (air-cooled chiller),Large-scale,Cluster 1,0
1.1734178,0.0260946191847324,0,7,Airside economizer& adiabatic cooling (air-cooled chiller),Airside economizer& adiabatic cooling (air-cooled chiller),Large-scale,Cluster 1,0
1.1286733,0.02679312415421,0,7,Airside economizer& adiabatic cooling (air-cooled chiller),Airside economizer& adiabatic cooling (air-cooled chiller),Large-scale,Cluster 1,0
1.1002275,0.0192391518503427,0,7,Airside economizer& adiabatic cooling (air-cooled chiller),Airside economizer& adiabatic cooling (air-cooled chiller),Large-scale,Cluster 1,0
1.1954165,0.015803949907422,0,7,Airside economizer& adiabatic cooling (air-cooled chiller),Airside economizer& adiabatic cooling (air-cooled chiller),Large-scale,Cluster 1,0
1.1283801,0.0257936418056488,0,7,Airside economizer& adiabatic cooling (air-cooled chiller),Airside economizer& adiabatic cooling (air-cooled chiller),Large-scale,Cluster 1,0
1.1540332,0.0205307081341743,0,7,Airside economizer& adiabatic cooling (air-cooled chiller),Airside economizer& adiabatic cooling (air-cooled chiller),Large-scale,Cluster 1,0
1.0848823,0.0241140220314264,0,7,Airside economizer& adiabatic cooling (air-cooled chiller),Airside economizer& adiabatic cooling (air-cooled chiller),Large-scale,Cluster 1,0
1.0739996,0.0342427417635917,0,7,Airside economizer& adiabatic cooling (air-cooled chiller),Airside economizer& adiabatic cooling (air-cooled chiller),Large-scale,Cluster 1,0
1.1278465,0.1502473801374435,1,7,Airside economizer& adiabatic cooling (water-cooled chiller),Airside economizer& adiabatic cooling (water-cooled chiller),Large-scale,Cluster 2,1
1.1625254,0.230526715517044,1,7,Airside economizer& adiabatic cooling (water-cooled chiller),Airside economizer& adiabatic cooling (water-cooled chiller),Large-scale,Cluster 2,1
1.1543895,0.2685884237289428,1,7,Airside economizer& adiabatic cooling (water-cooled chiller),Airside economizer& adiabatic cooling (water-cooled chiller),Large-scale,Cluster 2,1
1.1174153,0.1558645516633987,1,7,Airside economizer& adiabatic cooling (water-cooled chiller),Airside economizer& adiabatic cooling (water-cooled chiller),Large-scale,Cluster 2,1
1.1369723,0.235354483127594,1,7,Airside economizer& adiabatic cooling (water-cooled chiller),Airside economizer& adiabatic cooling (water-cooled chiller),Large-scale,Cluster 2,1
1.1098156,0.4577499330043793,1,7,Airside economizer& adiabatic cooling (water-cooled chiller),Airside economizer& adiabatic cooling (water-cooled chiller),Large-scale,Cluster 2,1
1.2157363,0.2590393424034118,1,7,Airside economizer& adiabatic cooling (water-cooled chiller),Airside economizer& adiabatic cooling (water-cooled chiller),Large-scale,Cluster 2,1
1.071051,0.1460427641868591,1,7,Airside economizer& adiabatic cooling (water-cooled chiller),Airside economizer& adiabatic cooling (water-cooled chiller),Large-scale,Cluster 2,1
1.1147664,0.2030534893274307,1,7,Airside economizer& adiabatic cooling (water-cooled chiller),Airside economizer& adiabatic cooling (water-cooled chiller),Large-scale,Cluster 2,1
1.127604,0.231985405087471,1,7,Airside economizer& adiabatic cooling (water-cooled chiller),Airside economizer& adiabatic cooling (water-cooled chiller),Large-scale,Cluster 2,1
1.1230053,0.1488205790519714,1,7,Airside economizer& adiabatic cooling (water-cooled chiller),Airside economizer& adiabatic cooling (water-cooled chiller),Large-scale,Cluster 2,1
1.1579427,0.1548598706722259,1,7,Airside economizer& adiabatic cooling (water-cooled chiller),Airside economizer& adiabatic cooling (water-cooled chiller),Large-scale,Cluster 2,1
1.1939478,0.3310516476631164,1,7,Airside economizer& adiabatic cooling (water-cooled chiller),Airside economizer& adiabatic cooling (water-cooled chiller),Large-scale,Cluster 2,1
1.0765548,0.1051707491278648,1,7,Airside economizer& adiabatic cooling (water-cooled chiller),Airside economizer& adiabatic cooling (water-cooled chiller),Large-scale,Cluster 2,1
1.1149172,0.387141466140747,1,7,Airside economizer& adiabatic cooling (water-cooled chiller),Airside economizer& adiabatic cooling (water-cooled chiller),Large-scale,Cluster 2,1
1.1090459,0.3413446545600891,1,7,Airside economizer& adiabatic cooling (water-cooled chiller),Airside economizer& adiabatic cooling (water-cooled chiller),Large-scale,Cluster 2,1
1.0924468,0.144725501537323,1,7,Airside economizer& adiabatic cooling (water-cooled chiller),Airside economizer& adiabatic cooling (water-cooled chiller),Large-scale,Cluster 2,1
1.0867457,0.249983862042427,1,7,Airside economizer& adiabatic cooling (water-cooled chiller),Airside economizer& adiabatic cooling (water-cooled chiller),Large-scale,Cluster 2,1
1.1565211,0.5513325929641724,1,7,Airside economizer& adiabatic cooling (water-cooled chiller),Airside economizer& adiabatic cooling (water-cooled chiller),Large-scale,Cluster 2,1
1.0784882,0.221241757273674,1,7,Airside economizer& adiabatic cooling (water-cooled chiller),Airside economizer& adiabatic cooling (water-cooled chiller),Large-scale,Cluster 2,1
1.0785638,0.1550325453281402,1,7,Airside economizer& adiabatic cooling (water-cooled chiller),Airside economizer& adiabatic cooling (water-cooled chiller),Large-scale,Cluster 2,1
1.198643,1.017552614212036,1,7,Airside economizer& adiabatic cooling (water-cooled chiller),Airside economizer& adiabatic cooling (water-cooled chiller),Large-scale,Cluster 2,1
1.0969154,0.1849999576807022,1,7,Airside economizer& adiabatic cooling (water-cooled chiller),Airside economizer& adiabatic cooling (water-cooled chiller),Large-scale,Cluster 2,1
1.084269,0.1744822859764099,1,7,Airside economizer& adiabatic cooling (water-cooled chiller),Airside economizer& adiabatic cooling (water-cooled chiller),Large-scale,Cluster 2,1
1.1278894,0.3881015181541443,1,7,Airside economizer& adiabatic cooling (water-cooled chiller),Airside economizer& adiabatic cooling (water-cooled chiller),Large-scale,Cluster 2,1
